kW,CH01+CH03+CH04+CH05+CH06+CH07,CH01+CH02+CH04+CH05+CH06+CH07,CH01+CH02+CH03+CH05+CH06+CH07,CH01+CH02+CH03+CH04+CH06+CH07,CH01+CH02+CH03+CH04+CH05+CH07,CH01+CH02+CH03+CH04+CH05+CH06,CH02+CH03+CH04+CH05+CH06+CH07
10700,6.257008868406599,6.511778323393437,5.808118415705888,6.129618056653116,6.1500178451269925,5.749666140069394,5.86032264478036
10800,6.3154855868029225,6.572636064733563,5.798737954140223,6.116041977703325,6.1361626838896095,5.803401337640135,5.915092015292326
10900,6.3188354141415894,6.56754924147228,5.8524299722341135,6.172671996015393,6.192979005036736,5.8049157577043164,5.91839182116063
11000,6.376806381243806,6.6278019868068885,5.906121990328004,6.229302014327461,6.249795326183862,5.858171865573164,5.972688993831828
11100,6.434777348346023,6.688054732141496,5.959814008421896,6.285932032639528,6.306611647330987,5.91142797344201,6.026986166503026
11200,6.492748315448239,6.7483074774761045,5.970589096094994,6.30487461525786,6.327144517614474,5.964684081310858,6.081283339174226
11300,6.550719282550455,6.808560222810713,6.023897927310128,6.3611681386083765,6.383636879378888,6.017940189179704,6.135580511845424
11400,6.541492780272502,6.796250553335698,6.008830483880879,6.341262449672197,6.363393998990784,6.014437919028722,6.1308893411725505
11500,6.54008652848681,6.785257309999666,6.061539523213168,6.396887558879848,6.419213244595966,6.011151625209284,6.129659970881603
11600,6.596956846125826,6.8442595474779235,6.114248562545456,6.452512668087499,6.475032490201148,6.063422508906756,6.1829613619327475
11700,6.653827163764842,6.9032617849561815,6.166957601877745,6.508137777295149,6.53085173580633,6.115693392604228,6.236262752983892
11800,6.710697481403858,6.962264022434439,6.219666641210033,6.5637628865028,6.586670981411513,6.1679642763017,6.289564144035037
11900,6.767567799042873,7.021266259912697,6.22672007496862,6.579128034684292,6.603681322433051,6.220235159999172,6.3428655350861805
12000,6.761224653401936,7.004020064170153,6.206002996583998,6.552924221173442,6.577078221972676,6.212023336651681,6.337002478477448
12100,6.747335171612918,6.987047049010157,6.257719688222198,6.607531923016555,6.631887207155782,6.20445391469847,6.32807473499247
12200,6.80309827220476,7.044791239497845,6.309436379860398,6.662139624859667,6.6866961923388875,6.255730393332342,6.380372873298193
12300,6.858861372796603,7.102535429985532,6.361153071498598,6.716747326702778,6.741505177521994,6.307006871966213,6.432671011603916
12400,6.914624473388445,7.1602796204732195,6.412869763136798,6.771355028545891,6.796314162705099,6.358283350600085,6.484969149909639
12500,6.903977164021781,7.137677940156317,6.386382572418518,6.738830054528519,6.763351077968238,6.345736474337542,6.475051219395392
12600,6.959208981333956,7.194779363677568,6.390197092196714,6.750968106775583,6.777158068243851,6.396502366132243,6.526851629150555
12700,7.01444079864613,7.251880787198818,6.440912942134783,6.80454721873412,6.830945037039436,6.447268257926943,6.578652038905719
12800,6.99516798381346,7.229376618293279,6.491628792072852,6.858126330692656,6.884732005835023,6.435037292896556,6.564874860418912
12900,7.049817733687004,7.285856123123696,6.542344642010922,6.911705442651193,6.938518974630608,6.485311021747311,6.616162945265935
13000,7.104467483560546,7.342335627954112,6.59306049194899,6.965284554609729,6.992305943426195,6.535584750598065,6.667451030112957
13100,7.088988372301343,7.313747518999456,6.560889191225971,6.926418325693759,6.95293366819111,6.518209559844571,6.653008641936808
13200,7.143102787357079,7.369577652732276,6.610972314823115,6.9792917480273,7.006009497719287,6.5679668847288815,6.703794967447776
13300,7.197217202412814,7.4254077864650965,6.66105543842026,7.032165170360839,7.059085327247463,6.617724209613191,6.754581292958744
