kW,CH01+CH02+CH03+CH04+CH05,CH01+CH02+CH03+CH04+CH06,CH01+CH02+CH03+CH04+CH07,CH01+CH02+CH03+CH05+CH06,CH01+CH02+CH03+CH05+CH07,CH01+CH02+CH03+CH06+CH07,CH01+CH02+CH04+CH05+CH06,CH01+CH02+CH04+CH05+CH07,CH01+CH02+CH04+CH06+CH07,CH01+CH02+CH05+CH06+CH07,CH01+CH03+CH04+CH05+CH06,CH01+CH03+CH04+CH05+CH07,CH01+CH03+CH04+CH06+CH07,CH01+CH03+CH05+CH06+CH07,CH01+CH04+CH05+CH06+CH07,CH02+CH03+CH04+CH05+CH06,CH02+CH03+CH04+CH05+CH07,CH02+CH03+CH04+CH06+CH07,CH02+CH03+CH05+CH06+CH07,CH02+CH04+CH05+CH06+CH07,CH03+CH04+CH05+CH06+CH07
9300,5.984376008843773,5.960395239554497,6.344476767253808,5.603227430296377,5.9521210277567995,5.930144769379053,6.329454284904496,6.95979921098692,6.92738501788675,6.449570725844343,6.067104026530754,6.627937663082185,6.5985344303933084,6.16358396103397,7.074413792222238,5.634336476066143,6.122823221406435,6.097722364623232,5.7244221009112195,6.492900464455466,6.2171210434478885
9400,5.984257538502881,5.960531809853757,6.41269694754686,5.606922524566162,6.016122329130528,5.993909766899258,6.397512933129275,6.948836081958173,6.916865856881591,6.445174287256559,6.132341704235386,6.628725313682945,6.599626608722469,6.168863390355762,7.150482757730003,5.694920739249651,6.124633800236231,6.099784230518388,5.729972161786893,6.5627165984818685,6.283971807355931
9500,6.0479198527422735,6.023941722724541,6.480917127839912,5.666570636529632,6.080123630504258,6.057674764419463,6.465571581354055,7.02275987006411,6.990449536210119,6.5137399711635435,6.197579381940018,6.699243668083827,6.669835402432282,6.234489596636142,7.22655172323777,5.755505002433157,6.189789478962148,6.164675552119648,5.7909293124442005,6.632532732508272,6.350822571263972
9600,6.111582166981665,6.087351635595326,6.549137308132964,5.726218748493102,6.144124931877987,6.121439761939667,6.533630229578835,7.096683658170049,7.064033215538646,6.582305655070528,6.262817059644649,6.769762022484709,6.740044196142096,6.3001158029165225,7.302620688745535,5.8160892656166645,6.254945157688066,6.229566873720907,5.851886463101509,6.702348866534675,6.417673335172014
9700,6.175244481221058,6.150761548466111,6.601008609509303,5.785866860456572,6.182553931523259,6.158013120217635,6.542027731472264,7.170607446275986,7.137616894867174,6.650871338977512,6.281385338220539,6.840280376885592,6.810252989851909,6.365742009196903,7.316285679995262,5.832626286240801,6.3201008364139835,6.294458195322167,5.912843613758816,6.714555800878852,6.440272862822306
9800,6.128875100420831,6.1032057501601935,6.573570612650409,5.73743046261555,6.1624487909960335,6.138314834008269,6.528133110188735,7.097702932498613,7.063299519005529,6.577968211295898,6.271119015744297,6.785463329270128,6.754013555218786,6.308915637651718,7.290128766778967,5.82801565312312,6.274003416335211,6.2471066688112655,5.864420356825934,6.698120903716512,6.427824725942134
9900,6.19141464226186,6.165483359855706,6.640647863799902,5.79597567141775,6.225330921516401,6.200950699661415,6.594746713353926,7.17012847262615,7.13537400389334,6.645090335900958,6.335110026109035,6.854702750997374,6.822932060884284,6.373292327831837,7.364517835827732,5.887485200603968,6.33802385935904,6.310852655227707,5.924261380875178,6.766469076203415,6.493414774166034
10000,6.253954184102888,6.227760969551218,6.707725114949397,5.854520880219949,6.288213052036769,6.263586565314561,6.661360316519118,7.242554012753687,7.207448488781152,6.712212460506019,6.399101036473772,6.92394217272462,6.891850566549782,6.437669018011957,7.438906904876497,5.946954748084816,6.402044302382868,6.374598641644149,5.984102404924422,6.834817248690318,6.559004822389933
10100,6.316493725943917,6.290038579246731,6.77480236609889,5.9130660890221485,6.3510951825571365,6.3262224309677055,6.727973919684309,7.314979552881224,7.279522973668964,6.779334585111079,6.4630920468385105,6.993181594451866,6.96076907221528,6.502045708192076,7.513295973925262,6.006424295565664,6.466064745406697,6.43834462806059,6.043943428973667,6.9031654211772215,6.624594870613832
10200,6.379033267784946,6.352316188942242,6.8418796172483844,5.9716112978243485,6.413977313077504,6.388858296620851,6.730927433025274,7.387405093008761,7.351597458556776,6.846456709716139,6.477532340385662,7.062421016179113,7.029687577880777,6.566422398372196,7.521474734045528,6.019084792026373,6.530085188430526,6.502090614477032,6.103784453022911,6.910320539120544,6.64350615670267
